,Rank,Cafe,Menu,Price,Address,Homepage,Article
0,1,Old Oak Tap,BLT,$10,2109 W. Chicago Ave.,theoldoaktap.com,“Truly inspired.”
1,2,Au Cheval,Fried Bologna,$9,800 W. Randolph St.,aucheval.tumblr.com," Thought your bologna-eating days had retired with your lunchbox? Luscious house-cured mortadella dotted with black pepper, sliced thin, and piled into layers on a spongy brioche bun should put you right back in the game. No thermos necessary."
2,3,Xoco,Woodland Mushroom,$9.50,445 N. Clark St.,rickbayless.com, Leave it to Rick Bayless and crew to come up with a vegetarian sandwich—garlicky roasted mushrooms commingling with tangy goat cheese and sharp arugula—as satisfying as the rest of the meat-packed menu. The three-chili salsa is a must-drizzle.
3,4,Al’s Deli,Roast Beef,$9.40,"914 Noyes St., Evanston",alsdeli.net," The Francophile brothers behind this deli, which has been in the family for 63 years, have turned simple ingredients into a sophisticated sandwich that balances savory and sweet: just rare roast beef, fresh tomato, Swiss cheese, and homemade béarnaise sauce on a buttery croissant."
4,5,Publican Quality Meats,PB&L,$10,825 W. Fulton Mkt.,publicanqualitymeats.com," When this place opened in February, it quickly rose to the top tier with its refined roster of sandwiches. Take, for instance, the one with grilled housemade pork belly and lamb sausage. It’s sprinkled with feta, cilantro, and sweet and spicy pipérade and tucked into a toasted, buttered lobster roll. It’s like the quarterback on a team packed with future Hall-of-Famers."
5,6,Hendrickx Belgian Bread Crafter,Belgian Chicken Curry Salad,$7.25,100 E. Walto,312-649-6717," The mom-and-pop aesthetic is a yeast-scented breath of fresh air in glitzy Streeterville, and the bakery turns out one gorgeous chicken salad. Chewy Belgian country bread encapsulates pulled chicken breast sauced with a delicate housemade curry."
6,7,Acadia,Lobster Roll,$16,1639 S. Wabash Ave.,acadiachicago.com," In a town that recently discovered the joys of lobster rolls, nobody does them better than Ryan McCaskey. He flies in fresh crustaceans from Maine daily, poaches them, sprinkles them with paprika and chives, and cradles them in buttery grilled rolls. From the Atlantic to your belly in 24 hours."
7,8,Birchwood Kitchen,Smoked Salmon Salad,$10,2211 W. North Ave.,birchwoodkitchen.com," Birchwood’s sandwich-slinging virtuosos consistently wow us with their seasonal menus. This time around, they’ve put a fallish slant on salmon salad, adding subtle notes of squash, red onion, sage, and chopped arugula to the mix and smooshing it inside a buttery, toasted sesame bagel."
8,9,Cemitas Puebla,Atomica Cemitas,$9,3619 W. North Ave.,cemitaspuebla.com," Standing three inches high, the Atomica is something to behold. It’s also a finely tuned blend of textures and spices: Krakus ham, guajillo pork loin, breaded milanesa, avocado, and Oaxacan cheese. For an extra kick, sprinkle salsa over the multitiered meat fiesta."
9,10,Nana,Grilled Laughing Bird Shrimp and Fried Po’ Boy,$17,3267 S. Halsted St.,nanaorganic.com," Grilled Laughing Bird shrimp and fried oyster po’ boy, Nana Will it be shrimp? Or, gee, the oysters? In Cajun country, you are forced to choose. So bless Bridgeport, where the friendly organic joint Nana packs a meal-and-a-half-size baguette with both—grilled Laughing Bird shrimp, perfectly fried oysters—and, for good Midwestern measure, adds housemade giardiniera."
10,11,Lula Cafe,Ham and Raclette Panino,$11,2537 N. Kedzie Blvd.,lulacafe.com," A crusty ciabatta bun is a flavorsome sponge for oozing Swiss cheese, rich egg yolk, and mustard with sweet-and-sour bursts of black currant. Smoky cured ham seals the deal."
11,12,Ricobene’s,Breaded Steak,$5.49,Multipl,ricobenespizza.com," This is what put Ricobene’s on the map: breaded skirt steak topped with housemade meat sauce on a crusty Turano French roll and finished with your choice of cheese and peppers. It’s juicy and sloppy, and you will finish every last bite."
12,13,Frog n Snail,The Hawkeye,$14,3124 N. Broadway,frognsnail.com," We didn’t expect a Man v. Food–esque behemoth on Dale Levitski’s menu, but there it was: a shiny egg bun dripping grease from its delectable pan-fried and ground pork innards. And ten minutes later, there it wasn’t."
13,14,Crosby’s Kitchen,Chicken Dip,$10,3455 N. Southport Ave.,crosbyskitchenchicago.com," Luscious nuggets of white meat from the kitchen’s rotisserie stand in for the French dip’s usual fatty beef. Swathed in melted Jack cheese and heaped with tomato, onion, and arugula, they fold it into a soft-crisp baguette with authority. The jus is just windowdressing."
